epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,114.887,1.57722,7.39434,0.00279,0.73029,0.83871,0.82777,0.42306,1.72474,4.03367,0.00409,0.00014,0.00014,0.00014
2,228.09,1.28401,4.05377,0.00197,0.83256,0.96774,0.95259,0.63677,1.21967,2.9079,0.00318,0.00029703,0.00029703,0.00029703
3,339.849,1.29057,2.96997,0.00204,0.8602,0.99259,0.96871,0.66896,1.18871,1.90324,0.00326,0.000450892,0.000450892,0.000450892
4,446.476,1.46228,2.28425,0.00228,0.90371,0.90323,0.97702,0.57961,1.50015,1.41536,0.00353,0.000601586,0.000601586,0.000601586
5,557.294,1.47337,1.52439,0.00245,1,0.99994,0.995,0.52553,1.67234,1.90236,0.0048,0.000749112,0.000749112,0.000749112
6,666.241,1.442,1.6716,0.00248,0.99322,0.87097,0.97512,0.68462,1.11278,1.24218,0.00302,0.00089347,0.00089347,0.00089347
7,773.089,1.222,0.9947,0.00217,0.98555,0.93548,0.99136,0.68864,1.15151,1.04925,0.00351,0.00103466,0.00103466,0.00103466
8,879.553,1.42667,0.87062,0.00242,0.99475,1,0.995,0.72223,1.07168,1.10601,0.00318,0.00117268,0.00117268,0.00117268
9,986.344,1.45081,0.86103,0.0024,0.98633,1,0.995,0.66775,1.25706,6.15041,0.00334,0.00130754,0.00130754,0.00130754
10,1092.91,1.34935,0.80665,0.00247,0.99781,1,0.995,0.67599,1.2317,1.4338,0.00378,0.00143922,0.00143922,0.00143922
11,1199.47,1.30025,0.62081,0.00211,0.96624,1,0.99312,0.70878,1.04416,0.85174,0.00319,0.00156774,0.00156774,0.00156774
12,1305.91,1.39579,0.82942,0.00258,0.96735,0.96774,0.9847,0.69253,1.07704,0.54688,0.00326,0.00169309,0.00169309,0.00169309
13,1412.04,1.29611,0.85689,0.00271,0.95678,0.96774,0.98947,0.69989,1.10834,1.34582,0.00336,0.0017624,0.0017624,0.0017624
14,1519.88,1.33273,0.70849,0.00241,0.90759,0.95064,0.97747,0.65279,1.29324,0.89585,0.00341,0.0017426,0.0017426,0.0017426
15,1626.58,1.29956,0.70314,0.0025,0.74407,0.83871,0.8776,0.57951,1.2702,0.82515,0.00343,0.0017228,0.0017228,0.0017228
16,1732.97,1.3247,0.57241,0.00202,1,0.91741,0.98519,0.71617,1.00382,0.5337,0.00261,0.001703,0.001703,0.001703
17,1839.8,1.40786,0.60303,0.0023,0.96841,0.98913,0.99406,0.67901,1.19344,0.72136,0.00341,0.0016832,0.0016832,0.0016832
18,1946.3,1.15131,0.53028,0.002,0.99038,1,0.995,0.71848,1.09799,0.70218,0.00311,0.0016634,0.0016634,0.0016634
19,2053.13,1.37447,0.51908,0.00231,0.99593,0.96774,0.99318,0.74008,1.02435,0.51211,0.00265,0.0016436,0.0016436,0.0016436
20,2160.34,1.30714,0.66063,0.00216,1,0.99865,0.995,0.68603,1.11816,0.53311,0.00271,0.0016238,0.0016238,0.0016238
21,2267.67,1.34921,0.58641,0.00223,0.96393,1,0.99406,0.58815,1.43359,0.56262,0.00372,0.001604,0.001604,0.001604
22,2374.53,1.34453,0.56729,0.00206,0.99508,1,0.995,0.67494,1.21567,0.46645,0.00322,0.0015842,0.0015842,0.0015842
23,2483.59,1.26534,0.54482,0.00194,0.99172,1,0.995,0.68249,1.12861,0.41266,0.0032,0.0015644,0.0015644,0.0015644
24,2589.42,1.18617,0.48613,0.00181,1,0.99262,0.995,0.71536,1.08707,0.33085,0.00316,0.0015446,0.0015446,0.0015446
25,2696.35,1.27468,0.47537,0.00194,1,0.99706,0.995,0.75558,0.95962,0.31432,0.00261,0.0015248,0.0015248,0.0015248
26,2803.44,1.16542,0.3956,0.00194,0.96204,1,0.99406,0.7624,0.95455,0.87558,0.00258,0.001505,0.001505,0.001505
27,2910.92,1.28958,0.52297,0.00213,0.96646,1,0.995,0.69344,1.10714,2.42961,0.00306,0.0014852,0.0014852,0.0014852
28,3018.05,1.06094,0.42188,0.00184,1,0.9986,0.995,0.68841,1.11085,1.32757,0.00314,0.0014654,0.0014654,0.0014654
29,3125.94,1.05222,0.42751,0.00163,0.99796,1,0.995,0.71834,0.98307,0.4099,0.00257,0.0014456,0.0014456,0.0014456
30,3233.34,1.07591,0.43375,0.00173,0.99754,1,0.995,0.72361,1.02864,0.38418,0.00287,0.0014258,0.0014258,0.0014258
31,3341.41,1.06132,0.40222,0.00184,1,0.99612,0.995,0.75621,0.97448,0.32551,0.00268,0.001406,0.001406,0.001406
32,3448.29,1.168,0.39939,0.00181,0.99769,1,0.995,0.73046,1.0008,0.31981,0.00273,0.0013862,0.0013862,0.0013862
33,3555.2,1.07853,0.38001,0.00177,0.99804,1,0.995,0.73805,0.99936,0.27789,0.00284,0.0013664,0.0013664,0.0013664
34,3661.88,1.00774,0.34308,0.00166,0.99804,1,0.995,0.77275,0.94365,0.25161,0.00266,0.0013466,0.0013466,0.0013466
35,3767.97,1.05673,0.33386,0.00152,0.99811,1,0.995,0.77203,0.92788,0.25982,0.00263,0.0013268,0.0013268,0.0013268
36,3874.52,1.07337,0.36072,0.00169,0.99798,1,0.995,0.74027,1.00318,0.2848,0.00284,0.001307,0.001307,0.001307
37,3981,1.03577,0.34802,0.00191,0.96619,1,0.99406,0.7575,0.96236,0.31166,0.00269,0.0012872,0.0012872,0.0012872
38,4087.34,1.03876,0.31532,0.00159,0.99709,1,0.995,0.72794,1.0208,0.28528,0.00268,0.0012674,0.0012674,0.0012674
39,4195.8,0.98438,0.31856,0.00172,0.99751,1,0.995,0.68769,1.14232,0.29727,0.00312,0.0012476,0.0012476,0.0012476
40,4304.21,1.05698,0.3433,0.00156,0.99829,1,0.995,0.73032,0.96688,0.25248,0.00265,0.0012278,0.0012278,0.0012278
41,4411.12,0.97118,0.32103,0.00167,0.99652,1,0.995,0.77049,0.91515,0.25663,0.00248,0.001208,0.001208,0.001208
42,4518.2,0.94891,0.31342,0.00141,0.99803,1,0.995,0.77098,0.87402,0.24286,0.00234,0.0011882,0.0011882,0.0011882
43,4625.3,1.01746,0.39031,0.00165,0.99739,1,0.995,0.76541,0.88945,0.26779,0.00238,0.0011684,0.0011684,0.0011684
44,4732.4,1.0597,0.36878,0.00152,0.9981,1,0.995,0.76175,0.90828,0.2613,0.0024,0.0011486,0.0011486,0.0011486
45,4839.53,0.95834,0.33552,0.00159,0.99804,1,0.995,0.75654,0.91613,0.24368,0.00242,0.0011288,0.0011288,0.0011288
46,4946.71,1.00183,0.3458,0.00145,1,0.99904,0.995,0.73259,0.97191,0.32433,0.00272,0.001109,0.001109,0.001109
47,5053.79,0.9966,0.34753,0.00172,0.99696,1,0.995,0.7334,0.97812,0.28431,0.00281,0.0010892,0.0010892,0.0010892
48,5161.73,1.08042,0.35478,0.00155,0.99685,1,0.995,0.73364,0.97391,0.29246,0.0029,0.0010694,0.0010694,0.0010694
49,5269.32,1.01841,0.38356,0.00164,0.99743,1,0.995,0.71903,0.99791,0.29125,0.00297,0.0010496,0.0010496,0.0010496
50,5376.47,0.92368,0.30771,0.00143,0.9964,1,0.995,0.7667,0.92536,0.25683,0.00259,0.0010298,0.0010298,0.0010298
51,5483.99,0.958,0.34662,0.00149,0.99805,1,0.995,0.77458,0.87506,0.23605,0.00241,0.00101,0.00101,0.00101
52,5591.58,0.89417,0.26582,0.00147,0.99797,1,0.995,0.76477,0.88047,0.24462,0.00241,0.0009902,0.0009902,0.0009902
53,5699.04,0.9265,0.34025,0.00143,0.98873,1,0.995,0.75561,0.92087,0.28959,0.00245,0.0009704,0.0009704,0.0009704
54,5805.8,0.95081,0.30162,0.00156,0.99758,1,0.995,0.73333,1.00251,0.2792,0.0026,0.0009506,0.0009506,0.0009506
55,5912.84,0.93026,0.29067,0.0013,0.99478,1,0.995,0.74938,0.98407,0.29549,0.00275,0.0009308,0.0009308,0.0009308
56,6019.82,0.94752,0.3085,0.0015,0.99744,1,0.995,0.75497,1.05314,0.29482,0.00326,0.000911,0.000911,0.000911
57,6127.73,1.14421,0.39904,0.00162,0.998,1,0.995,0.72122,1.10947,0.2819,0.00355,0.0008912,0.0008912,0.0008912
58,6234.78,0.97641,0.30341,0.00173,0.99731,1,0.995,0.75238,1.03994,0.26882,0.00315,0.0008714,0.0008714,0.0008714
59,6341.49,0.96613,0.35737,0.0015,0.99645,1,0.995,0.75414,1.01567,0.25774,0.00288,0.0008516,0.0008516,0.0008516
60,6449.81,0.97333,0.32864,0.00146,0.99463,1,0.995,0.7526,1.03283,0.2696,0.00283,0.0008318,0.0008318,0.0008318
61,6556.9,0.84487,0.30314,0.00129,0.99757,1,0.995,0.74165,1.03478,0.26169,0.00279,0.000812,0.000812,0.000812
62,6664.13,0.8342,0.27911,0.0013,0.99751,1,0.995,0.76242,0.97952,0.24826,0.00263,0.0007922,0.0007922,0.0007922
63,6771.28,0.76028,0.25445,0.00123,0.99825,1,0.995,0.78135,0.92458,0.23606,0.00255,0.0007724,0.0007724,0.0007724
64,6878.7,0.90498,0.3274,0.00136,0.99646,1,0.995,0.76678,0.9798,0.25154,0.00276,0.0007526,0.0007526,0.0007526
65,6986.95,0.95782,0.29957,0.00134,0.99643,1,0.995,0.76632,0.95455,0.25334,0.00272,0.0007328,0.0007328,0.0007328
66,7093.54,0.87538,0.26595,0.00138,1,0.99795,0.995,0.79883,0.84221,0.2456,0.00233,0.000713,0.000713,0.000713
67,7200.07,0.86649,0.25424,0.00132,0.99762,1,0.995,0.80238,0.82639,0.23727,0.00223,0.0006932,0.0006932,0.0006932
68,7306.89,0.87992,0.30614,0.00144,0.99794,0.96774,0.99235,0.78363,0.84686,0.27766,0.0023,0.0006734,0.0006734,0.0006734
69,7414.1,0.85667,0.26362,0.0013,0.99734,1,0.995,0.75456,0.95437,0.28024,0.00257,0.0006536,0.0006536,0.0006536
70,7521.22,0.8839,0.28796,0.00135,0.99748,1,0.995,0.71914,1.06588,0.31123,0.0029,0.0006338,0.0006338,0.0006338
71,7627.95,1.01958,0.32484,0.00142,0.99744,0.96774,0.99318,0.70417,1.07182,0.33788,0.00298,0.000614,0.000614,0.000614
72,7734.36,0.79302,0.2769,0.00125,0.99762,1,0.995,0.71174,1.02275,0.28288,0.00287,0.0005942,0.0005942,0.0005942
73,7841.85,0.86227,0.28892,0.00128,1,0.99825,0.995,0.73539,0.96718,0.27971,0.00265,0.0005744,0.0005744,0.0005744
74,7950.03,0.93869,0.2851,0.00133,0.99749,1,0.995,0.76118,0.92814,0.26117,0.00246,0.0005546,0.0005546,0.0005546
75,8056.68,0.87577,0.25094,0.00125,0.99719,1,0.995,0.76377,0.94606,0.26559,0.00249,0.0005348,0.0005348,0.0005348
76,8163.4,0.82018,0.28562,0.00133,0.99742,1,0.995,0.75959,0.95328,0.26178,0.00252,0.000515,0.000515,0.000515
77,8270.44,0.85769,0.29348,0.00132,0.9972,1,0.995,0.75268,0.95373,0.26344,0.00255,0.0004952,0.0004952,0.0004952
78,8377.74,0.79271,0.24043,0.00118,0.99724,1,0.995,0.74291,0.96169,0.26998,0.00257,0.0004754,0.0004754,0.0004754
79,8484.74,0.7899,0.26677,0.00123,1,0.99527,0.995,0.74476,0.97284,0.2804,0.00261,0.0004556,0.0004556,0.0004556
80,8591.46,0.72998,0.22486,0.00119,1,0.99209,0.995,0.74026,0.98339,0.28359,0.00267,0.0004358,0.0004358,0.0004358
81,8698.34,0.83097,0.27505,0.00127,1,0.99901,0.995,0.72696,0.99303,0.28315,0.00272,0.000416,0.000416,0.000416
82,8807.08,0.77763,0.24356,0.00121,0.99763,1,0.995,0.73055,0.98734,0.27713,0.00267,0.0003962,0.0003962,0.0003962
83,8913.7,0.78773,0.28353,0.00119,0.99706,1,0.995,0.73939,0.98282,0.27046,0.00259,0.0003764,0.0003764,0.0003764
84,9020.33,0.76297,0.24309,0.00117,0.99707,1,0.995,0.755,0.96549,0.26318,0.00251,0.0003566,0.0003566,0.0003566
85,9126.9,0.80765,0.27321,0.0013,0.99529,1,0.995,0.75725,0.94725,0.25824,0.00246,0.0003368,0.0003368,0.0003368
86,9233.22,0.86,0.29275,0.00133,0.99484,1,0.995,0.76355,0.93434,0.255,0.00244,0.000317,0.000317,0.000317
87,9340.12,0.75495,0.27627,0.00139,0.99764,1,0.995,0.74804,0.9434,0.25654,0.0025,0.0002972,0.0002972,0.0002972
88,9446.56,0.76495,0.25822,0.00119,0.99836,1,0.995,0.74602,0.95651,0.25937,0.00253,0.0002774,0.0002774,0.0002774
89,9553.4,0.74175,0.25921,0.00112,0.99801,1,0.995,0.7461,0.96282,0.26008,0.00254,0.0002576,0.0002576,0.0002576
90,9667.92,0.70772,0.21655,0.00101,0.99827,1,0.995,0.76042,0.95381,0.25818,0.00249,0.0002378,0.0002378,0.0002378
91,9774.93,0.78057,0.29671,0.00121,0.99747,1,0.995,0.76911,0.94217,0.25573,0.00244,0.000218,0.000218,0.000218
92,9880.3,0.68132,0.21099,0.00116,0.9972,1,0.995,0.75938,0.93706,0.25351,0.00242,0.0001982,0.0001982,0.0001982
93,9985.92,0.72938,0.2277,0.00127,0.99721,1,0.995,0.7443,0.93808,0.25239,0.00242,0.0001784,0.0001784,0.0001784
